name,industry,category,price,user_rating,user_reviews,price_band,rating_tier
Frappuccino® Light Blended Coffee,Coffee,Venti Nonfat Milk,290.0,165.0,52,Ultra ($250+),Top Rated (4.5-5)
Shaken Iced Beverages,Coffee,2% Milk,180.0,170.0,36,Luxury ($101-250),Top Rated (4.5-5)
Shaken Iced Beverages,Coffee,2% Milk,120.0,125.0,24,Luxury ($101-250),Top Rated (4.5-5)
Shaken Iced Beverages,Coffee,Grande,90.0,165.0,21,Premium ($51-100),Top Rated (4.5-5)
Shaken Iced Beverages,Coffee,Grande Nonfat Milk,110.0,90.0,24,Luxury ($101-250),Top Rated (4.5-5)
Shaken Iced Beverages,Coffee,Soymilk,80.0,90.0,17,Premium ($51-100),Top Rated (4.5-5)
Shaken Iced Beverages,Coffee,Soymilk,170.0,170.0,33,Luxury ($101-250),Top Rated (4.5-5)
Shaken Iced Beverages,Coffee,Soymilk,110.0,125.0,22,Luxury ($101-250),Top Rated (4.5-5)
Shaken Iced Beverages,Coffee,Tall,60.0,170.0,15,Premium ($51-100),Top Rated (4.5-5)
Shaken Iced Beverages,Coffee,Tall,60.0,120.0,15,Premium ($51-100),Top Rated (4.5-5)
Shaken Iced Beverages,Coffee,Tall Nonfat Milk,80.0,90.0,18,Premium ($51-100),Top Rated (4.5-5)
Shaken Iced Beverages,Coffee,Venti,130.0,235.0,31,Luxury ($101-250),Top Rated (4.5-5)
Shaken Iced Beverages,Coffee,Venti Nonfat Milk,160.0,125.0,36,Luxury ($101-250),Top Rated (4.5-5)
Signature Espresso Drinks,Coffee,2% Milk,240.0,150.0,32,Luxury ($101-250),Top Rated (4.5-5)
Signature Espresso Drinks,Coffee,2% Milk,200.0,75.0,29,Luxury ($101-250),Top Rated (4.5-5)
Signature Espresso Drinks,Coffee,2% Milk,180.0,75.0,23,Luxury ($101-250),Top Rated (4.5-5)
Signature Espresso Drinks,Coffee,2% Milk,120.0,75.0,15,Luxury ($101-250),Top Rated (4.5-5)
Signature Espresso Drinks,Coffee,2% Milk,230.0,20.0,32,Luxury ($101-250),Top Rated (4.5-5)
Signature Espresso Drinks,Coffee,2% Milk,150.0,10.0,22,Luxury ($101-250),Top Rated (4.5-5)
Signature Espresso Drinks,Coffee,2% Milk,510.0,150.0,74,Ultra ($250+),Top Rated (4.5-5)
Signature Espresso Drinks,Coffee,2% Milk,400.0,150.0,58,Ultra ($250+),Top Rated (4.5-5)
Signature Espresso Drinks,Coffee,2% Milk,300.0,150.0,40,Ultra ($250+),Top Rated (4.5-5)
Signature Espresso Drinks,Coffee,2% Milk,310.0,75.0,44,Ultra ($250+),Top Rated (4.5-5)
Signature Espresso Drinks,Coffee,2% Milk,380.0,30.0,54,Ultra ($250+),Top Rated (4.5-5)
Signature Espresso Drinks,Coffee,2% Milk,290.0,25.0,41,Ultra ($250+),Top Rated (4.5-5)
Signature Espresso Drinks,Coffee,Grande,280.0,0.0,65,Ultra ($250+),Low (1-2.9)
Signature Espresso Drinks,Coffee,Grande Nonfat Milk,190.0,150.0,32,Luxury ($101-250),Top Rated (4.5-5)
Signature Espresso Drinks,Coffee,Grande Nonfat Milk,240.0,25.0,41,Luxury ($101-250),Top Rated (4.5-5)
Signature Espresso Drinks,Coffee,Grande Nonfat Milk,350.0,150.0,58,Ultra ($250+),Top Rated (4.5-5)
Signature Espresso Drinks,Coffee,Short,140.0,0.0,33,Luxury ($101-250),Low (1-2.9)
Signature Espresso Drinks,Coffee,Short Nonfat Milk,100.0,75.0,15,Premium ($51-100),Top Rated (4.5-5)
Signature Espresso Drinks,Coffee,Short Nonfat Milk,180.0,75.0,29,Luxury ($101-250),Top Rated (4.5-5)
Signature Espresso Drinks,Coffee,Short Nonfat Milk,130.0,10.0,23,Luxury ($101-250),Top Rated (4.5-5)
Signature Espresso Drinks,Coffee,Soymilk,100.0,75.0,11,Premium ($51-100),Top Rated (4.5-5)
Signature Espresso Drinks,Coffee,Soymilk,250.0,150.0,31,Luxury ($101-250),Top Rated (4.5-5)
Signature Espresso Drinks,Coffee,Soymilk,200.0,150.0,24,Luxury ($101-250),Top Rated (4.5-5)
Signature Espresso Drinks,Coffee,Soymilk,180.0,75.0,25,Luxury ($101-250),Top Rated (4.5-5)
Signature Espresso Drinks,Coffee,Soymilk,150.0,75.0,17,Luxury ($101-250),Top Rated (4.5-5)
Signature Espresso Drinks,Coffee,Soymilk,250.0,25.0,32,Luxury ($101-250),Top Rated (4.5-5)
Signature Espresso Drinks,Coffee,Soymilk,200.0,20.0,25,Luxury ($101-250),Top Rated (4.5-5)
Signature Espresso Drinks,Coffee,Soymilk,130.0,10.0,18,Luxury ($101-250),Top Rated (4.5-5)
Signature Espresso Drinks,Coffee,Soymilk,460.0,150.0,64,Ultra ($250+),Top Rated (4.5-5)
Signature Espresso Drinks,Coffee,Soymilk,370.0,150.0,51,Ultra ($250+),Top Rated (4.5-5)
Signature Espresso Drinks,Coffee,Soymilk,280.0,75.0,39,Ultra ($250+),Top Rated (4.5-5)
Signature Espresso Drinks,Coffee,Soymilk,330.0,30.0,44,Ultra ($250+),Top Rated (4.5-5)
Signature Espresso Drinks,Coffee,Tall,210.0,0.0,49,Luxury ($101-250),Low (1-2.9)
Signature Espresso Drinks,Coffee,Tall Nonfat Milk,140.0,75.0,24,Luxury ($101-250),Top Rated (4.5-5)
Signature Espresso Drinks,Coffee,Tall Nonfat Milk,190.0,20.0,32,Luxury ($101-250),Top Rated (4.5-5)
Signature Espresso Drinks,Coffee,Tall Nonfat Milk,270.0,75.0,45,Ultra ($250+),Top Rated (4.5-5)
Signature Espresso Drinks,Coffee,Venti,360.0,0.0,83,Ultra ($250+),Low (1-2.9)
Signature Espresso Drinks,Coffee,Venti Nonfat Milk,240.0,150.0,41,Luxury ($101-250),Top Rated (4.5-5)
Signature Espresso Drinks,Coffee,Venti Nonfat Milk,450.0,150.0,74,Ultra ($250+),Top Rated (4.5-5)
Signature Espresso Drinks,Coffee,Venti Nonfat Milk,320.0,30.0,55,Ultra ($250+),Top Rated (4.5-5)
Smoothies,Coffee,2% Milk,300.0,15.0,34,Ultra ($250+),Top Rated (4.5-5)
Smoothies,Coffee,2% Milk,290.0,0.0,41,Ultra ($250+),Low (1-2.9)
Smoothies,Coffee,2% Milk,270.0,0.0,37,Ultra ($250+),Low (1-2.9)
Smoothies,Coffee,Grande Nonfat Milk,260.0,15.0,37,Ultra ($250+),Top Rated (4.5-5)
Smoothies,Coffee,Grande Nonfat Milk,290.0,0.0,41,Ultra ($250+),Low (1-2.9)
Smoothies,Coffee,Soymilk,290.0,15.0,31,Ultra ($250+),Top Rated (4.5-5)
Smoothies,Coffee,Soymilk,290.0,0.0,40,Ultra ($250+),Low (1-2.9)
Smoothies,Coffee,Soymilk,270.0,0.0,36,Ultra ($250+),Low (1-2.9)
Tazo® Tea Drinks,Coffee,2% Milk,90.0,0.0,15,Premium ($51-100),Low (1-2.9)
Tazo® Tea Drinks,Coffee,2% Milk,240.0,95.0,42,Luxury ($101-250),Top Rated (4.5-5)
Tazo® Tea Drinks,Coffee,2% Milk,190.0,70.0,32,Luxury ($101-250),Top Rated (4.5-5)
Tazo® Tea Drinks,Coffee,2% Milk,120.0,50.0,21,Luxury ($101-250),Top Rated (4.5-5)
Tazo® Tea Drinks,Coffee,2% Milk,170.0,25.0,25,Luxury ($101-250),Top Rated (4.5-5)
Tazo® Tea Drinks,Coffee,2% Milk,230.0,0.0,38,Luxury ($101-250),Low (1-2.9)
Tazo® Tea Drinks,Coffee,2% Milk,190.0,0.0,30,Luxury ($101-250),Low (1-2.9)
Tazo® Tea Drinks,Coffee,2% Milk,140.0,0.0,23,Luxury ($101-250),Low (1-2.9)
Tazo® Tea Drinks,Coffee,2% Milk,310.0,120.0,53,Ultra ($250+),Top Rated (4.5-5)
Tazo® Tea Drinks,Coffee,2% Milk,450.0,110.0,71,Ultra ($250+),Top Rated (4.5-5)
Tazo® Tea Drinks,Coffee,2% Milk,350.0,80.0,55,Ultra ($250+),Top Rated (4.5-5)
Tazo® Tea Drinks,Coffee,2% Milk,260.0,55.0,40,Ultra ($250+),Top Rated (4.5-5)
Tazo® Tea Drinks,Coffee,Grande Nonfat Milk,210.0,95.0,43,Luxury ($101-250),Top Rated (4.5-5)
Tazo® Tea Drinks,Coffee,Grande Nonfat Milk,150.0,0.0,31,Luxury ($101-250),Low (1-2.9)
Tazo® Tea Drinks,Coffee,Grande Nonfat Milk,290.0,80.0,56,Ultra ($250+),Top Rated (4.5-5)
Tazo® Tea Drinks,Coffee,Short Nonfat Milk,100.0,50.0,21,Premium ($51-100),Top Rated (4.5-5)
Tazo® Tea Drinks,Coffee,Short Nonfat Milk,80.0,0.0,16,Premium ($51-100),Low (1-2.9)
Tazo® Tea Drinks,Coffee,Short Nonfat Milk,130.0,25.0,25,Luxury ($101-250),Top Rated (4.5-5)
Tazo® Tea Drinks,Coffee,Soymilk,80.0,0.0,13,Premium ($51-100),Low (1-2.9)
